cnpj;dt_abertura;matriz_empresa;cod_cnae_principal;dsc_cnae_principal;dsc_ramo_atividade;dsc_setor;end_cep;end_municipio;end_uf;end_regiao;end_mesorregiao;situacao_cadastral;dt_carga
00000000000191;1966-08-01;true;6422100;BANCOS MULTIPLOS COM CARTEIRA COMERCIAL;BENS DE CAPITAL;SERVICOS;70040912;BRASILIA;DF;CENTRO-OESTE;DISTRITO FEDERAL;"ATIVA";04/06/2023
00000208000100;1966-08-04;true;6422100;BANCOS MULTIPLOS COM CARTEIRA COMERCIAL;BENS DE CAPITAL;SERVICOS;70040250;BRASILIA;DF;CENTRO-OESTE;DISTRITO FEDERAL;"ATIVA";04/06/2023
00001180000126;1966-08-19;true;6462000;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;70730524;BRASILIA;DF;CENTRO-OESTE;DISTRITO FEDERAL;"ATIVA";04/06/2023
00015813000155;1994-06-13;true;5611203;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;99999999;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00019682000184;1994-06-17;true;4613300;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MADEIRA MATERIAL DE CONSTRUCAO E FERRAGENS;ATACADO;COMERCIO;13184061;HORTOLANDIA;SP;SUDESTE;CAMPINAS;"ATIVA";04/06/2023
00067246000261;2000-11-11;false;4713002;LOJAS DE VARIEDADES EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES;VAREJO;COMERCIO;48630000;RODELAS;BA;NORDESTE;VALE SAO FRANCISCANO DA BAHIA;"ATIVA";04/06/2023
00070698000111;1969-01-17;true;3514000;DISTRIBUICAO DE ENERGIA ELETRICA;ENERGIA;INDUSTRIA;70830010;BRASILIA;DF;CENTRO-OESTE;DISTRITO FEDERAL;"ATIVA";04/06/2023
00084435000161;1994-06-07;true;6622300;CORRETORES E AGENTES DE SEGUROS DE PLANOS DE PREVIDENCIA COMPLEMENTAR E DE SAUDE;BENS DE CAPITAL;SERVICOS;90150005;PORTO ALEGRE;RS;SUL;METROPOLITANA DE PORTO ALEGRE;"ATIVA";04/06/2023
00091368000102;1994-06-16;true;4511102;COMERCIO A VAREJO DE AUTOMOVEIS CAMIONETAS E UTILITARIOS USADOS;VAREJO;COMERCIO;91150010;PORTO ALEGRE;RS;SUL;METROPOLITANA DE PORTO ALEGRE;"ATIVA";04/06/2023
00093489000193;1972-10-01;true;4721103;COMERCIO VAREJISTA DE LATICINIOS E FRIOS;VAREJO;COMERCIO;83408280;COLOMBO;PR;SUL;METROPOLITANA DE CURITIBA;"ATIVA";04/06/2023
00099282000126;1994-06-27;true;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;SERVICOS DIVERSOS;SERVICOS;39200000;CORINTO;MG;SUDESTE;CENTRAL MINEIRA;"ATIVA";04/06/2023
00102555000144;1994-06-30;true;8112500;CONDOMINIOS PREDIAIS;SERVICOS ADMINISTRATIVOS;SERVICOS;64000360;TERESINA;PI;NORDESTE;CENTRO NORTE PIAUIENSE;"ATIVA";04/06/2023
00105012000180;1994-07-05;true;4619200;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO;ATACADO;COMERCIO;89010310;BLUMENAU;SC;SUL;VALE DO ITAJAI;"ATIVA";04/06/2023
00107964000133;1994-07-04;true;6204000;CONSULTORIA EM TECNOLOGIA DA INFORMACAO;INDUSTRIA DIGITAL;SERVICOS;15940000;FERNANDO PRESTES;SP;SUDESTE;RIBEIRAO PRETO;"ATIVA";04/06/2023
00114313000170;1994-07-14;true;1052000;FABRICACAO DE LATICINIOS;BENS DE CONSUMO;INDUSTRIA;92990000;ELDORADO DO SUL;RS;SUL;METROPOLITANA DE PORTO ALEGRE;"ATIVA";04/06/2023
