cod_acao_rdz;cod_acao;razao_social;dsc_setor_economico;dsc_subsetor;dsc_segmento;segmento_b3;cnpj;dt_carga
AALR;AALR3;ALLIAR;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;42771949000135;04/06/2023
ABCB;ABCB4;ABC BRASIL;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;N2;28195667000106;04/06/2023
ABEV;ABEV3;AMBEV S/A;CONSUMO NÃO CÍCLICO;BEBIDAS;CERVEJAS E REFRIGERANTES;NI;07526557000100;04/06/2023
ADHM;ADHM1, ADHM3;ADVANCED-DH;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NI;10345009000198;04/06/2023
AERI;AERI3;AERIS;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;NM;12528708000107;04/06/2023
AESB;AESB3;AES BRASIL;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;37663076000107;04/06/2023
AESL;NI;AES SUL;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;99999999999999;04/06/2023
AFLT;AFLT3;AFLUENTE T;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;10338320000100;04/06/2023
AGRO;AGRO3;BRASILAGRO;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;07628528000159;04/06/2023
AGRU;NI;GRUAIRPORT;BENS INDUSTRIAIS;TRANSPORTE;SERVIÇOS DE APOIO E ARMAZENAGEM;MB;99999999999999;04/06/2023
AGXY;AGXY3;AGROGALAXY;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;21240146000184;04/06/2023
AHEB;AHEB3, AHEB5, AHEB6;SPTURIS;CONSUMO CÍCLICO;VIAGENS E LAZER;PRODUÇÃO DE EVENTOS E SHOWS;NI;62002886000160;04/06/2023
ALEF;ALEF3B;ALEF S/A;OUTROS;OUTROS;OUTROS;MB;02217319000107;04/06/2023
ALGT;NI;ALGAR TELEC;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;NI;99999999999999;04/06/2023
ALLD;ALLD3;ALLIED;CONSUMO CÍCLICO;COMÉRCIO;ELETRODOMÉSTICOS;NM;20247322000147;04/06/2023
ALPA;ALPA3, ALPA4;ALPARGATAS;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;CALÇADOS;N1;61079117000105;04/06/2023
ALPK;ALPK3;ESTAPAR;BENS INDUSTRIAIS;SERVIÇOS;SERVIÇOS DIVERSOS;NM;60537263000166;04/06/2023
ALSO;ALSO3;ALIANSCSONAE;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;NM;05878397000132;04/06/2023
ALUP;ALUP11, ALUP3, ALUP4;ALUPAR;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N2;08364948000138;04/06/2023
AMAR;AMAR3;LOJAS MARISA;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;NM;61189288000189;04/06/2023
AMBP;AMBP3;AMBIPAR;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;NM;12648266000124;04/06/2023
ANHB;NI;AUTOBAN;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;NI;99999999999999;04/06/2023
ANIM;ANIM3;ANIMA;CONSUMO CÍCLICO;DIVERSOS;SERVIÇOS EDUCACIONAIS;NM;09288252000132;04/06/2023
APCS;APCS-CRI05B0;TRUESEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;NI;12130744000100;04/06/2023
APER;APER3;ALPER S.A.;FINANCEIRO;PREVIDÊNCIA E SEGUROS;CORRETORAS DE SEGUROS;NM;11721921000160;04/06/2023
APTI;APTI3, APTI4;ALIPERTI;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NI;61156931000178;04/06/2023
ARML;ARML3;ARMAC;CONSUMO CÍCLICO;DIVERSOS;ALUGUEL DE CARROS;NM;00242184000104;04/06/2023
ARZZ;ARZZ3;AREZZO CO;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;NM;16590234000176;04/06/2023
ASAI;ASAI3;ASSAI;CONSUMO NÃO CÍCLICO;COMÉRCIO E DISTRIBUIÇÃO;ALIMENTOS;NM;06057223000171;04/06/2023
