cnpj;dsc_nivel_atividade;dt_carga
00000000000191;Alto;04/06/2023
00000000048984;Alto;04/06/2023
00000000123358;Alto;04/06/2023
00000000138622;Alto;04/06/2023
00000000400610;Alto;04/06/2023
00000208000100;Alto;04/06/2023
00001180000126;Alto;04/06/2023
00003028000182;Alto;04/06/2023
00005950000109;Alto;04/06/2023
00010478000100;Baixo;04/06/2023
00033752000159;Alto;04/06/2023
00061849000175;Muito baixo;04/06/2023
00070698000111;Alto;04/06/2023
00077234000218;Baixo;04/06/2023
00081583000122;Alto;04/06/2023
00082402000182;Baixo;04/06/2023
00113213000120;Baixo;04/06/2023
00116082000134;Medio;04/06/2023
00120620000245;Medio;04/06/2023
00137120000135;Medio;04/06/2023
00138896000170;Baixo;04/06/2023
00147877000100;Medio;04/06/2023
00171486000120;Alto;04/06/2023
00177758000108;Medio;04/06/2023
00189576000149;Muito baixo;04/06/2023
00196316000109;Alto;04/06/2023
00209683000191;Medio;04/06/2023
00230712000105;Medio;04/06/2023
00242184000104;Medio;04/06/2023
00245501000138;Medio;04/06/2023
00255445000112;Alto;04/06/2023
00272185000193;Alto;04/06/2023
00279582000197;Medio;04/06/2023
00284924000248;Baixo;04/06/2023
00306191000114;Baixo;04/06/2023
00310924000194;Alto;04/06/2023
00336701000104;Alto;04/06/2023
00342744000194;Baixo;04/06/2023
00349508000108;Alto;04/06/2023
00353913000191;Medio;04/06/2023
00359742000108;Alto;04/06/2023
00360305070820;Alto;04/06/2023
00360305381663;Alto;04/06/2023
00360305563427;Alto;04/06/2023
00366474000151;Medio;04/06/2023
00392645000117;Alto;04/06/2023
00394429011900;Alto;04/06/2023
00394502010700;Alto;04/06/2023
00401381000200;Alto;04/06/2023
00404421000188;Medio;04/06/2023
00407975000139;Medio;04/06/2023
00414607000894;Medio;04/06/2023
00416968000101;Alto;04/06/2023
00424023000123;Medio;04/06/2023
00482687000149;Alto;04/06/2023
00493902000107;Alto;04/06/2023
00494937000403;Inativo;04/06/2023
00508038000170;Baixo;04/06/2023
00512297000174;Medio;04/06/2023
00520767000141;Medio;04/06/2023
00526043000105;Baixo;04/06/2023
00548885000400;Medio;04/06/2023
00559509000179;Alto;04/06/2023
00566728000185;Alto;04/06/2023
00585484000188;Medio;04/06/2023
00586400000120;Alto;04/06/2023
00593330000138;Baixo;04/06/2023
00609064000194;Muito baixo;04/06/2023
00614147000171;Medio;04/06/2023
00618493000128;Medio;04/06/2023
00622416000141;Alto;04/06/2023
00634453001141;Medio;04/06/2023
00643535002205;Medio;04/06/2023
00643867000327;Medio;04/06/2023
00648407000120;Medio;04/06/2023
00655522002175;Medio;04/06/2023
00666093000198;Medio;04/06/2023
00667423000160;Medio;04/06/2023
00671734000100;Medio;04/06/2023
00684615000184;Medio;04/06/2023
00684797000193;Baixo;04/06/2023
00694498000130;Baixo;04/06/2023
00695260000129;Medio;04/06/2023
00695311000112;Alto;04/06/2023
00697295012103;Medio;04/06/2023
00717158000187;Alto;04/06/2023
00741524000133;Alto;04/06/2023
00743065000127;Alto;04/06/2023
00755800000112;Medio;04/06/2023
00767373000192;Medio;04/06/2023
00776574000156;Alto;04/06/2023
00779059000553;Baixo;04/06/2023
00779721000303;Medio;04/06/2023
00799371000185;Medio;04/06/2023
00801299000183;Muito baixo;04/06/2023
00806643000127;Medio;04/06/2023
00809678000110;Muito baixo;04/06/2023
00811911000107;Muito baixo;04/06/2023
00827061000127;Medio;04/06/2023
00831582000158;Medio;04/06/2023
00840969000170;Alto;04/06/2023
00848676000130;Medio;04/06/2023
00852760000127;Baixo;04/06/2023
00855585000121;Medio;04/06/2023
00860254001402;Baixo;04/06/2023
00864214000106;Alto;04/06/2023
00883622000539;Baixo;04/06/2023
00897458000195;Baixo;04/06/2023
00897523000182;Alto;04/06/2023
00906520000168;Medio;04/06/2023
00924429000175;Alto;04/06/2023
00929032000176;Medio;04/06/2023
00931778000114;Muito baixo;04/06/2023
00936063000154;Alto;04/06/2023
00938574000105;Alto;04/06/2023
00939771000220;Alto;04/06/2023
00942021000126;Medio;04/06/2023
00956486000136;Muito baixo;04/06/2023
00969873000107;Baixo;04/06/2023
00993264004776;Alto;04/06/2023
01007964000205;Medio;04/06/2023
01008336000163;Alto;04/06/2023
01027058000191;Alto;04/06/2023
01045089000175;Alto;04/06/2023
