cnpj;dsc_porte;dt_carga
00000000000191;Grande;04/06/2023
00000000027200;Grande;04/06/2023
00000000701300;Grande;04/06/2023
00000208000100;Grande;04/06/2023
00001180000126;Grande;04/06/2023
00010738000130;Mei;04/06/2023
00029441000116;Micro;04/06/2023
00061284000126;Pequena;04/06/2023
00064822001299;Grande;04/06/2023
00070698000111;Grande;04/06/2023
00076433000120;Micro;04/06/2023
00086627000107;Micro;04/06/2023
00093600000222;Micro;04/06/2023
00106718000167;Micro;04/06/2023
00122836000169;Mei;04/06/2023
00132975000173;Micro;04/06/2023
00138718000149;Micro;04/06/2023
00147605000100;Micro;04/06/2023
00148246000105;Micro;04/06/2023
00158635000383;Grande;04/06/2023
00160431000115;Micro;04/06/2023
00164390000135;Pequena;04/06/2023
00164895000108;Micro;04/06/2023
00168039000112;Pequena;04/06/2023
00176062000159;Micro;04/06/2023
00190557000132;Pequena;04/06/2023
00202193000163;Pequena;04/06/2023
00227294000350;Media;04/06/2023
00242184000104;Media;04/06/2023
00247697000108;Mei;04/06/2023
00248470000179;Micro;04/06/2023
00258315000133;Pequena;04/06/2023
00272185000193;Grande;04/06/2023
00276234000166;Micro;04/06/2023
00280731001100;Grande;04/06/2023
00296549002208;Media;04/06/2023
00298429000107;Pequena;04/06/2023
00329228000120;Pequena;04/06/2023
00331801000806;Media;04/06/2023
00336701000104;Grande;04/06/2023
00348577000199;Pequena;04/06/2023
00359742000108;Grande;04/06/2023
00360305121599;Grande;04/06/2023
00360305442476;Grande;04/06/2023
00379119000117;Micro;04/06/2023
00386116000100;Micro;04/06/2023
00416968000101;Grande;04/06/2023
00428376000100;Pequena;04/06/2023
00446918002960;Micro;04/06/2023
00459675000101;Pequena;04/06/2023
00466187000709;Media;04/06/2023
00478626000108;Micro;04/06/2023
00479315000163;Mei;04/06/2023
00497190001680;Micro;04/06/2023
00510487000152;Micro;04/06/2023
00521634000190;Micro;04/06/2023
00524079000150;Micro;04/06/2023
00551511000100;Pequena;04/06/2023
00579820000260;Micro;04/06/2023
00589013000148;Pequena;04/06/2023
00597206000140;Micro;04/06/2023
00605375000185;Mei;04/06/2023
00610350001818;Media;04/06/2023
00618428000100;Micro;04/06/2023
00620507000148;Micro;04/06/2023
00622416000141;Grande;04/06/2023
00638315000169;Pequena;04/06/2023
00656621000128;Pequena;04/06/2023
00667413000124;Pequena;04/06/2023
00672671000360;Pequena;04/06/2023
00673464000169;Media;04/06/2023
00689529000164;Micro;04/06/2023
00695124000139;Micro;04/06/2023
00708100000177;Pequena;04/06/2023
00710194000119;Pequena;04/06/2023
00716207000167;Micro;04/06/2023
00726887000108;Micro;04/06/2023
00733490000135;Micro;04/06/2023
00743065000127;Grande;04/06/2023
00763794000145;Micro;04/06/2023
00770659000127;Micro;04/06/2023
00772018000101;Micro;04/06/2023
00776574000156;Grande;04/06/2023
00776574057344;Micro;04/06/2023
00782454000161;Pequena;04/06/2023
00808192000167;Pequena;04/06/2023
00815781000172;Pequena;04/06/2023
00830460000147;Mei;04/06/2023
00832662000128;Micro;04/06/2023
00836322000175;Micro;04/06/2023
00844903000159;Pequena;04/06/2023
00860234000290;Micro;04/06/2023
00864214000106;Grande;04/06/2023
00885048000124;Pequena;04/06/2023
00891461000100;Micro;04/06/2023
00914405000135;Micro;04/06/2023
00924429000175;Grande;04/06/2023
00938454000108;Micro;04/06/2023
00938574000105;Grande;04/06/2023
00938752000106;Micro;04/06/2023
00941804000276;Micro;04/06/2023
00945296000113;Micro;04/06/2023
00957192000129;Pequena;04/06/2023
00969882000106;Micro;04/06/2023
00970396000108;Mei;04/06/2023
00973310000354;Media;04/06/2023
00974546000143;Micro;04/06/2023
00975945000200;Media;04/06/2023
00987544000270;Micro;04/06/2023
00991033000140;Micro;04/06/2023
00996895000166;Pequena;04/06/2023
01005705000164;Micro;04/06/2023
01010003000179;Micro;04/06/2023
01016241000272;Micro;04/06/2023
01020651000106;Micro;04/06/2023
01026921003705;Grande;04/06/2023
01027058000191;Grande;04/06/2023
01029953000145;Micro;04/06/2023
01036784000170;Pequena;04/06/2023
01041065000148;Micro;04/06/2023
01043394000128;Pequena;04/06/2023
01058159000120;Micro;04/06/2023
01062529000100;Grande;04/06/2023
01068088000146;Micro;04/06/2023
01083200000118;Grande;04/06/2023
01104937000170;Media;04/06/2023
01107327000120;Grande;04/06/2023
01129002000148;Pequena;04/06/2023
01140688000178;Pequena;04/06/2023
01156746000151;Micro;04/06/2023
01171301000140;Micro;04/06/2023
01173636000106;Micro;04/06/2023
01176143000111;Pequena;04/06/2023
01190116000101;Micro;04/06/2023
01203517000140;Micro;04/06/2023
01205192000135;Micro;04/06/2023
01207056000184;Media;04/06/2023
01207970000125;Pequena;04/06/2023
01209727000146;Pequena;04/06/2023
01224044000168;Media;04/06/2023
01228052000182;Micro;04/06/2023
01230464000157;Micro;04/06/2023
01230972000135;Micro;04/06/2023
01234848002787;Media;04/06/2023
01238600000155;Mei;04/06/2023
01248111000184;Grande;04/06/2023
01260144000140;Micro;04/06/2023
01261993000118;Micro;04/06/2023
01267713000189;Media;04/06/2023
01269436000143;Micro;04/06/2023
01271734000178;Micro;04/06/2023
01287763000128;Micro;04/06/2023
01321030000162;Mei;04/06/2023
01342308000188;Pequena;04/06/2023
01342915000148;Pequena;04/06/2023
01366291000107;Pequena;04/06/2023
01378158000162;Micro;04/06/2023
01383962000130;Micro;04/06/2023
01388634000126;Micro;04/06/2023
01392404000130;Micro;04/06/2023
01393167000122;Media;04/06/2023
01399726000101;Micro;04/06/2023
01401748000169;Micro;04/06/2023
01411114000197;Media;04/06/2023
01417222000177;Grande;04/06/2023
01422492000176;Micro;04/06/2023
01429457000189;Micro;04/06/2023
01432010000169;Micro;04/06/2023
