cnpj;dsc_saude_tributaria;dt_carga
00000000000191;Verde;04/06/2023
00000000469815;Cinza;04/06/2023
00000000701815;Cinza;04/06/2023
00000208000100;Verde;04/06/2023
00001180000126;Verde;04/06/2023
00004504000180;Verde;04/06/2023
00027813000175;Cinza;04/06/2023
00033241000722;Cinza;04/06/2023
00056096000100;Verde;04/06/2023
00056703000131;Cinza;04/06/2023
00061730000100;Cinza;04/06/2023
00066180000104;Verde;04/06/2023
00070698000111;Verde;04/06/2023
00085558000117;Cinza;04/06/2023
00093866000194;Cinza;04/06/2023
00165009000152;Cinza;04/06/2023
00211339000137;Vermelho;04/06/2023
00232316000109;Cinza;04/06/2023
00242184000104;Amarela;04/06/2023
00261882000300;Verde;04/06/2023
00272185000193;Cinza;04/06/2023
00273948000110;Verde;04/06/2023
00278899000109;Cinza;04/06/2023
00336701000104;Verde;04/06/2023
00359742000108;Cinza;04/06/2023
00360305090189;Cinza;04/06/2023
00360305537850;Cinza;04/06/2023
00367185000177;Verde;04/06/2023
00378298000178;Cinza;04/06/2023
00390681000141;Verde;04/06/2023
00416968000101;Amarela;04/06/2023
00465481000291;Cinza;04/06/2023
00467444000212;Cinza;04/06/2023
00490375000187;Cinza;04/06/2023
00497373002678;Verde;04/06/2023
00497983000113;Vermelho;04/06/2023
00510667000134;Vermelho;04/06/2023
00530495000160;Cinza;04/06/2023
00572669000158;Verde;04/06/2023
00589405000107;Verde;04/06/2023
00618428000100;Cinza;04/06/2023
00621445000270;Cinza;04/06/2023
00622416000141;Cinza;04/06/2023
00624233000165;Cinza;04/06/2023
00625124000162;Cinza;04/06/2023
00628107009305;Cinza;04/06/2023
00635028000103;Cinza;04/06/2023
00649404000100;Verde;04/06/2023
00651873000164;Cinza;04/06/2023
00653149000331;Cinza;04/06/2023
00657059000157;Cinza;04/06/2023
00660472000170;Cinza;04/06/2023
00667115000134;Vermelho;04/06/2023
00669237000160;Cinza;04/06/2023
00670202000140;Cinza;04/06/2023
00679308000539;Ni;04/06/2023
00682315000166;Cinza;04/06/2023
00716976000165;Cinza;04/06/2023
00743065000127;Cinza;04/06/2023
00744380000330;Cinza;04/06/2023
00755990000500;Cinza;04/06/2023
00757649000151;Cinza;04/06/2023
00776574000156;Amarela;04/06/2023
00777288000296;Cinza;04/06/2023
00786328000185;Cinza;04/06/2023
00789647000144;Cinza;04/06/2023
00819201002673;Verde;04/06/2023
00819881000177;Cinza;04/06/2023
00826151000101;Verde;04/06/2023
00838593000240;Vermelho;04/06/2023
00845980000123;Amarela;04/06/2023
00864214000106;Verde;04/06/2023
00878183000142;Verde;04/06/2023
00888336000132;Cinza;04/06/2023
00913259000123;Cinza;04/06/2023
00915822000100;Verde;04/06/2023
00924429000175;Cinza;04/06/2023
00934444000102;Vermelho;04/06/2023
00937838000106;Cinza;04/06/2023
00938574000105;Amarela;04/06/2023
00954224000485;Cinza;04/06/2023
00976728000153;Cinza;04/06/2023
00979950000371;Cinza;04/06/2023
00981991000130;Cinza;04/06/2023
01004629000172;Cinza;04/06/2023
01027058000191;Amarela;04/06/2023
01029093000140;Cinza;04/06/2023
01039263000177;Cinza;04/06/2023
01061462000181;Verde;04/06/2023
01070676000203;Cinza;04/06/2023
