cnpj;optante_simples;optante_simei;dt_carga
00000000000191;false;false;04/06/2023
00000000035300;false;false;04/06/2023
00000000328405;false;false;04/06/2023
00000000467448;false;false;04/06/2023
00000000589632;false;false;04/06/2023
00000000704245;false;false;04/06/2023
00000208000100;false;false;04/06/2023
00000208012621;false;false;04/06/2023
00001180000126;false;false;04/06/2023
00006874000156;false;false;04/06/2023
00021055000269;NI;NI;04/06/2023
00021581000148;false;false;04/06/2023
00021803000203;false;false;04/06/2023
00027568000104;true;false;04/06/2023
00028415000173;false;false;04/06/2023
00057309000118;true;false;04/06/2023
00059319000192;false;false;04/06/2023
00063947000141;false;false;04/06/2023
00070698000111;false;false;04/06/2023
00072429000194;false;false;04/06/2023
00078115000107;false;false;04/06/2023
00116845000147;false;false;04/06/2023
00127993000167;false;false;04/06/2023
00139348000164;false;false;04/06/2023
00203351000108;false;false;04/06/2023
00217289000103;false;false;04/06/2023
00218928000147;true;false;04/06/2023
00230225000134;true;false;04/06/2023
00238905000102;true;false;04/06/2023
00242184000104;false;false;04/06/2023
00252011000169;true;false;04/06/2023
00263914000145;false;false;04/06/2023
00272185000193;false;false;04/06/2023
00275977000111;true;false;04/06/2023
00292951000181;false;false;04/06/2023
00325276000492;false;false;04/06/2023
00336701000104;false;false;04/06/2023
00355025000108;false;false;04/06/2023
00359742000108;false;false;04/06/2023
00360305208520;false;false;04/06/2023
00394478005706;false;false;04/06/2023
00405891000166;true;false;04/06/2023
00416968000101;false;false;04/06/2023
00419223000198;true;false;04/06/2023
00447540000118;false;false;04/06/2023
00507331000112;true;false;04/06/2023
00511505000110;false;false;04/06/2023
00519712000111;false;false;04/06/2023
00527392000141;true;false;04/06/2023
00528749000106;true;true;04/06/2023
00540565000161;false;false;04/06/2023
00556667000256;false;false;04/06/2023
00573373000151;true;false;04/06/2023
00576704000298;false;false;04/06/2023
00601763000198;false;false;04/06/2023
00607587002226;false;false;04/06/2023
00622309000113;false;false;04/06/2023
00622416000141;false;false;04/06/2023
00636363000118;true;false;04/06/2023
00651923000103;true;false;04/06/2023
00656484000121;true;false;04/06/2023
00664518000120;false;false;04/06/2023
00687544000505;NI;NI;04/06/2023
00696185000110;true;false;04/06/2023
00705885000124;true;false;04/06/2023
00718700000116;false;false;04/06/2023
00720022000126;false;false;04/06/2023
00734543000485;false;false;04/06/2023
00743065000127;false;false;04/06/2023
00754836000181;false;false;04/06/2023
00755990000259;false;false;04/06/2023
00764305000170;true;false;04/06/2023
00766597000180;false;false;04/06/2023
00774872000107;false;false;04/06/2023
00776574000156;false;false;04/06/2023
00791156000138;false;false;04/06/2023
00809995000136;false;false;04/06/2023
00826607000125;false;false;04/06/2023
00833176000124;false;false;04/06/2023
00838431000121;true;false;04/06/2023
00844150000181;true;false;04/06/2023
00857396000198;true;false;04/06/2023
00864214000106;false;false;04/06/2023
00870953000100;true;false;04/06/2023
00886828000199;false;false;04/06/2023
00905274000120;false;false;04/06/2023
00914988000102;false;false;04/06/2023
00924429000175;false;false;04/06/2023
00931489000115;true;false;04/06/2023
00931718000100;false;false;04/06/2023
00934861000147;true;false;04/06/2023
00938574000105;false;false;04/06/2023
00940094000189;true;false;04/06/2023
00945803000119;true;false;04/06/2023
00949142000108;false;false;04/06/2023
00952190000147;true;false;04/06/2023
00980086000247;false;false;04/06/2023
00981562000163;true;false;04/06/2023
00981903000109;true;false;04/06/2023
00984008000130;false;false;04/06/2023
00984046000192;false;false;04/06/2023
00984317000100;true;true;04/06/2023
01003694000183;false;false;04/06/2023
01024410000135;true;false;04/06/2023
01026686000152;true;false;04/06/2023
01027058000191;false;false;04/06/2023
01030685000696;false;false;04/06/2023
01034243000103;true;false;04/06/2023
01039012000192;true;false;04/06/2023
01060100000176;true;true;04/06/2023
01064094000206;false;false;04/06/2023
