SK1_cnae_principal,Soma de cod_cnae_principal,dsc_cnae_principal,dt_carga
-1,0,ATIVIDADE NAO INFORMADA,2023-06-03 01:16:22
0,1012101,ABATE DE AVES,2023-06-03 01:16:22
1,1531902,ACABAMENTO DE CALCADOS DE COURO SOB CONTRATO,2023-06-03 01:16:22
2,8550301,ADMINISTRACAO DE CAIXAS ESCOLARES,2023-06-03 01:16:22
3,6613400,ADMINISTRACAO DE CARTOES DE CREDITO,2023-06-03 01:16:22
4,4399101,ADMINISTRACAO DE OBRAS,2023-06-03 01:16:22
5,8411600,ADMINISTRACAO PUBLICA EM GERAL,2023-06-03 01:16:22
6,5250803,AGENCIAMENTO DE CARGAS EXCETO PARA O TRANSPORTE MARITIMO,2023-06-03 01:16:22
7,7312200,AGENCIAMENTO DE ESPACOS PARA PUBLICIDADE EXCETO EM VEICULOS DE COMUNICACAO,2023-06-03 01:16:22
8,7490105,AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS CULTURAIS E ARTISTICAS,2023-06-03 01:16:22
9,6391700,AGENCIAS DE NOTICIAS,2023-06-03 01:16:22
10,7311400,AGENCIAS DE PUBLICIDADE,2023-06-03 01:16:22
11,7311400,AGENCIAS DE PUBLICIDADE DISPENSADA,2023-06-03 01:16:22
12,7911200,AGENCIAS DE VIAGENS,2023-06-03 01:16:22
13,7911200,AGENCIAS DE VIAGENS DISPENSADA,2023-06-03 01:16:22
14,6612605,AGENTES DE INVESTIMENTOS EM APLICACOES FINANCEIRAS,2023-06-03 01:16:22
15,9609207,ALOJAMENTO DE ANIMAIS DOMESTICOS,2023-06-03 01:16:22
16,7732202,ALUGUEL DE ANDAIMES,2023-06-03 01:16:22
17,7729201,ALUGUEL DE APARELHOS DE JOGOS ELETRONICOS,2023-06-03 01:16:22
18,7721700,ALUGUEL DE EQUIPAMENTOS RECREATIVOS E ESPORTIVOS,2023-06-03 01:16:22
19,7722500,ALUGUEL DE FITAS DE VIDEO DVDS E SIMILARES,2023-06-03 01:16:22
20,6810202,ALUGUEL DE IMOVEIS PROPRIOS,2023-06-03 01:16:22
21,6810202,ALUGUEL DE IMOVEIS PROPRIOS DISPENSADA,2023-06-03 01:16:22
22,7731400,ALUGUEL DE MAQUINAS E EQUIPAMENTOS AGRICOLAS SEM OPERADOR,2023-06-03 01:16:22
23,7732201,ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR EXCETO ANDAIMES,2023-06-03 01:16:22
24,7733100,ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA ESCRITORIOS,2023-06-03 01:16:22
25,7729202,ALUGUEL DE MOVEIS UTENSILIOS E APARELHOS DE USO DOMESTICO E PESSOAL INSTRUMENTOS MUSICAIS,2023-06-03 01:16:22
26,7723300,ALUGUEL DE OBJETOS DO VESTUARIO JOIAS E ACESSORIOS,2023-06-03 01:16:22
27,7723300,ALUGUEL DE OBJETOS DO VESTUARIO JOIAS E ACESSORIOS DISPENSADA,2023-06-03 01:16:22
28,7739099,ALUGUEL DE OUTRAS MAQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE SEM OPERADOR,2023-06-03 01:16:22
29,7729299,ALUGUEL DE OUTROS OBJETOS PESSOAIS E DOMESTICOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
30,7739003,ALUGUEL DE PALCOS COBERTURAS E OUTRAS ESTRUTURAS DE USO TEMPORARIO EXCETO ANDAIMES,2023-06-03 01:16:22
31,2391503,APARELHAMENTO DE PLACAS E EXECUCAO DE TRABALHOS EM MARMORE GRANITO ARDOSIA E OUTRAS PEDRAS,2023-06-03 01:16:22
32,159801,APICULTURA,2023-06-03 01:16:22
33,4330405,APLICACAO DE REVESTIMENTOS E DE RESINAS EM INTERIORES E EXTERIORES,2023-06-03 01:16:22
34,5211701,ARMAZENS GERAIS EMISSAO DE WARRANT,2023-06-03 01:16:22
35,9001999,ARTES CENICAS ESPETACULOS E ATIVIDADES COMPLEMENTARES NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
