cnpj,razao_social,cod_acao_reduzido,cod_acao,dt_abertura,matriz_empresa,endereco_municipio,endereco_uf,endereco_regiao,situacao_cadastral,optante_simples,optante_simei,dt_carga
00000000000191,BRASIL,BBAS,"BBAS11, BBAS12, BBAS3",1966-08-01 00:00:00,true,BRASILIA,DF,CENTRO-OESTE,ATIVA,false,false,2023-06-01 17:20:11
00000208000100,BRB BANCO,BSLI,"BSLI4, BSLI3",1966-08-04 00:00:00,true,BRASILIA,DF,CENTRO-OESTE,ATIVA,false,false,2023-06-01 17:20:11
00001180000126,ELETROBRAS,ELET,"ELET3, ELET5, ELET6",1966-08-19 00:00:00,true,BRASILIA,DF,CENTRO-OESTE,ATIVA,false,false,2023-06-01 17:20:11
00015813000155,NI,NI,NI,1994-06-13 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00019682000184,NI,NI,NI,1994-06-17 00:00:00,true,HORTOLANDIA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00067246000261,NI,NI,NI,2000-11-11 00:00:00,false,RODELAS,BA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00070698000111,CEB,CEBR,"CEBR6, CEBR5, CEBR3",1969-01-17 00:00:00,true,BRASILIA,DF,CENTRO-OESTE,ATIVA,false,false,2023-06-01 17:20:11
00084435000161,NI,NI,NI,1994-06-07 00:00:00,true,PORTO ALEGRE,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00091368000102,NI,NI,NI,1994-06-16 00:00:00,true,PORTO ALEGRE,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00093489000193,NI,NI,NI,1972-10-01 00:00:00,true,COLOMBO,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00099282000126,NI,NI,NI,1994-06-27 00:00:00,true,CORINTO,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00102555000144,NI,NI,NI,1994-06-30 00:00:00,true,TERESINA,PI,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
