SK1_ramo_atividade,dsc_ramo_atividade,dt_carga
-1,NI,2023-06-01 17:20:11
0,ATACADO,2023-06-01 17:20:11
1,BENS DE CAPITAL,2023-06-01 17:20:11
2,BENS DE CONSUMO,2023-06-01 17:20:11
3,DIVERSOS,2023-06-01 17:20:11
4,ELETROELETRONICOS,2023-06-01 17:20:11
5,ENERGIA,2023-06-01 17:20:11
6,FARMACEUTICA,2023-06-01 17:20:11
7,INDUSTRIA AUTOMOTIVA,2023-06-01 17:20:11
8,INDUSTRIA DA CONSTRUCAO,2023-06-01 17:20:11
9,INDUSTRIA DIGITAL,2023-06-01 17:20:11
10,MINERACAO,2023-06-01 17:20:11
11,PAPEL E CELULOSE,2023-06-01 17:20:11
12,PRODUTOS DE AGROPECUARIA,2023-06-01 17:20:11
13,QUIMICA-PETROQUIMICA,2023-06-01 17:20:11
14,SERVICOS ADMINISTRATIVOS,2023-06-01 17:20:11
15,SERVICOS DE ALOJAMENTO/ALIMENTACAO,2023-06-01 17:20:11
16,SERVICOS DE EDUCACAO,2023-06-01 17:20:11
17,SERVICOS DE SANEAMENTO BASICO,2023-06-01 17:20:11
18,SERVICOS DE SAUDE,2023-06-01 17:20:11
19,SERVICOS DIVERSOS,2023-06-01 17:20:11
20,SERVICOS PROFISSIONAIS E TECNICOS,2023-06-01 17:20:11
21,SIDERURGICA-METALURGIA,2023-06-01 17:20:11
22,TELECOM,2023-06-01 17:20:11
23,TEXTEIS,2023-06-01 17:20:11
24,TRANSPORTE,2023-06-01 17:20:11
25,VAREJO,2023-06-01 17:20:11
